name,nextId,threadId,homework,midterm,final,Grade
Student-1,1,Thread-1,99,75,99,A
Student-2,2,Thread-2,95,98,92,A
Student-3,3,Thread-3,95,84,80,B
Student-4,4,Thread-4,76,71,86,C
Student-5,5,Thread-5,70,87,97,B
Student-6,6,Thread-6,79,97,76,B
Student-7,7,Thread-7,91,79,82,B
Student-8,8,Thread-8,98,96,95,A
Student-9,9,Thread-9,72,79,95,C
Student-10,10,Thread-10,95,91,91,A
Student-11,11,Thread-11,84,81,73,B
Student-12,12,Thread-12,95,80,85,B
Student-13,13,Thread-13,78,73,84,C
Student-14,14,Thread-14,80,82,96,B
Student-15,15,Thread-15,72,98,88,B
Student-16,16,Thread-16,93,97,77,A
Student-17,17,Thread-17,88,96,70,B
Student-18,18,Thread-18,83,74,72,C
Student-19,19,Thread-19,81,87,78,B
Student-20,20,Thread-20,84,98,76,B
Student-21,21,Thread-21,88,83,72,B
Student-22,22,Thread-22,82,77,97,B
Student-23,23,Thread-23,87,94,96,A
Student-24,24,Thread-24,88,79,79,B
Student-25,25,Thread-25,91,99,80,A
Student-26,26,Thread-26,76,92,73,B
Student-27,27,Thread-27,96,81,97,A
Student-28,28,Thread-28,92,78,92,B
Student-29,29,Thread-29,86,83,98,B
Student-30,30,Thread-30,81,90,93,B
Student-31,31,Thread-31,91,90,98,A
Student-32,32,Thread-32,95,83,97,A
Student-33,33,Thread-33,85,77,78,B
Student-34,34,Thread-34,98,89,84,A
Student-35,35,Thread-35,72,96,91,B
Student-36,36,Thread-36,95,81,90,B
Student-37,37,Thread-37,75,81,92,B
Student-38,38,Thread-38,94,97,76,A
Student-39,39,Thread-39,97,79,70,B
Student-40,40,Thread-40,92,77,79,B
Student-41,41,Thread-41,97,95,78,A
Student-42,42,Thread-42,76,94,74,B
Student-43,43,Thread-43,94,95,89,A
Student-44,44,Thread-44,77,77,98,B
Student-45,45,Thread-45,98,95,80,A
Student-46,46,Thread-46,98,94,95,A
Student-47,47,Thread-47,81,86,80,B
Student-48,48,Thread-48,84,88,78,B
Student-49,49,Thread-49,85,70,94,B
Student-50,50,Thread-50,95,74,82,B
Student-51,51,Thread-51,99,98,88,A
Student-52,52,Thread-52,78,75,77,C
Student-53,53,Thread-53,70,86,77,C
Student-54,54,Thread-54,83,72,85,B
Student-55,55,Thread-55,88,91,99,A
Student-56,56,Thread-56,78,87,71,C
Student-57,57,Thread-57,78,84,91,B
Student-58,58,Thread-58,73,70,84,C
Student-59,59,Thread-59,94,95,71,B
Student-60,60,Thread-60,83,70,84,C
Student-61,61,Thread-61,72,81,82,C
Student-62,62,Thread-62,97,99,81,A
Student-63,63,Thread-63,75,83,95,B
Student-64,64,Thread-64,86,71,83,B
Student-65,65,Thread-65,81,98,79,B
Student-66,66,Thread-66,76,92,85,B
Student-67,67,Thread-67,82,91,84,B
Student-68,68,Thread-68,93,94,84,A
Student-69,69,Thread-69,93,79,99,A
Student-70,70,Thread-70,81,83,72,C
Student-71,71,Thread-71,95,82,89,B
Student-72,72,Thread-72,89,86,98,B
Student-73,73,Thread-73,91,99,74,A
Student-74,74,Thread-74,98,87,89,A
Student-75,75,Thread-75,93,73,96,B
Student-76,76,Thread-76,99,96,99,A
Student-77,77,Thread-77,70,79,83,C
Student-78,78,Thread-78,71,81,92,C
Student-79,79,Thread-79,96,74,94,B
Student-80,80,Thread-80,74,87,88,B
Student-81,81,Thread-81,82,89,77,B
Student-82,82,Thread-82,76,80,87,C
Student-83,83,Thread-83,78,78,97,B
Student-84,84,Thread-84,93,72,92,B
Student-85,85,Thread-85,92,73,78,B
Student-86,86,Thread-86,75,86,76,C
Student-87,87,Thread-87,81,95,89,B
Student-88,88,Thread-88,91,99,90,A
Student-89,89,Thread-89,75,83,92,B
Student-90,90,Thread-90,77,74,98,B
Student-91,91,Thread-91,86,80,99,B
Student-92,92,Thread-92,75,84,99,B
Student-93,93,Thread-93,73,96,95,B
Student-94,94,Thread-94,99,87,96,A
Student-95,95,Thread-95,94,81,97,A
Student-96,96,Thread-96,77,94,81,B
Student-97,97,Thread-97,74,70,91,C
Student-98,98,Thread-98,97,75,80,B
Student-99,99,Thread-99,77,95,76,B
Student-100,100,Thread-100,93,91,91,A
Student-101,101,Thread-101,71,74,77,C
Student-102,102,Thread-102,95,78,84,B
Student-103,103,Thread-103,94,73,83,B
Student-104,104,Thread-104,89,93,95,A
Student-105,105,Thread-105,73,77,78,C
Student-106,106,Thread-106,93,94,87,A
Student-107,107,Thread-107,96,90,90,A
