name,nextId,threadId,homework,midterm,final,Grade
Student-22,22,Thread-22,92,80,77,B
Student-21,21,Thread-21,98,93,95,A
Student-20,20,Thread-20,71,90,87,C
Student-26,26,Thread-26,93,90,87,A
Student-25,25,Thread-25,91,93,82,B
Student-24,24,Thread-24,93,75,74,B
Student-23,23,Thread-23,92,79,80,B
Student-29,29,Thread-29,72,94,82,B
Student-28,28,Thread-28,92,84,86,B
Student-27,27,Thread-27,86,87,82,B
Student-40,40,Thread-40,93,90,80,B
Student-33,33,Thread-33,74,96,70,C
Student-32,32,Thread-32,96,85,95,A
Student-31,31,Thread-31,88,95,87,B
Student-30,30,Thread-30,86,96,99,A
Student-37,37,Thread-37,87,79,72,B
Student-36,36,Thread-36,81,95,93,B
Student-35,35,Thread-35,78,89,82,B
Student-34,34,Thread-34,89,70,82,B
Student-39,39,Thread-39,83,89,97,B
Student-38,38,Thread-38,75,88,76,C
Student-50,50,Thread-50,77,88,78,B
Student-44,44,Thread-44,74,83,87,C
Student-43,43,Thread-43,73,94,96,B
Student-42,42,Thread-42,71,88,78,C
Student-41,41,Thread-41,78,73,91,C
Student-48,48,Thread-48,88,93,96,A
Student-47,47,Thread-47,81,75,70,C
Student-46,46,Thread-46,81,86,76,B
Student-45,45,Thread-45,88,78,77,B
Student-49,49,Thread-49,71,88,72,C
Student-3,3,Thread-3,99,84,87,A
Student-4,4,Thread-4,78,79,80,C
Student-5,5,Thread-5,76,89,86,B
Student-6,6,Thread-6,78,95,84,B
Student-7,7,Thread-7,93,83,96,A
Student-8,8,Thread-8,73,98,76,B
Student-9,9,Thread-9,70,92,72,C
Student-11,11,Thread-11,78,80,78,C
Student-10,10,Thread-10,73,77,77,C
Student-15,15,Thread-15,97,88,87,A
Student-14,14,Thread-14,73,82,91,C
Student-13,13,Thread-13,91,86,85,B
Student-12,12,Thread-12,73,70,82,C
Student-19,19,Thread-19,75,77,94,C
Student-18,18,Thread-18,70,93,83,C
Student-17,17,Thread-17,99,78,86,A
Student-16,16,Thread-16,70,99,98,B
Student-1,1,Thread-1,74,84,72,C
Student-2,2,Thread-2,87,86,86,B
