name,nextId,threadId,homework,midterm,final,Grade
student-22,22,Thread-22,74,76,74,74,C
student-21,21,Thread-21,79,87,93,86,B
student-20,20,Thread-20,97,90,79,88,B
student-26,26,Thread-26,94,89,95,92,A
student-25,25,Thread-25,98,80,86,88,B
student-24,24,Thread-24,85,97,81,87,B
student-23,23,Thread-23,81,93,88,87,B
student-29,29,Thread-29,88,89,99,92,A
student-28,28,Thread-28,98,75,97,90,A
student-27,27,Thread-27,86,84,76,82,B
student-3,3,Thread-3,77,77,99,84,B
student-4,4,Thread-4,85,96,78,86,B
student-5,5,Thread-5,80,98,99,92,A
student-6,6,Thread-6,81,93,85,86,B
student-7,7,Thread-7,73,88,91,84,B
student-8,8,Thread-8,98,76,91,88,B
student-9,9,Thread-9,72,75,73,73,C
student-11,11,Thread-11,79,87,81,82,B
student-10,10,Thread-10,75,80,77,77,C
student-15,15,Thread-15,87,70,88,81,B
student-14,14,Thread-14,86,82,76,81,B
student-13,13,Thread-13,72,99,96,89,B
student-12,12,Thread-12,91,96,75,87,B
student-19,19,Thread-19,74,86,93,84,B
student-18,18,Thread-18,86,87,70,81,B
student-17,17,Thread-17,70,96,75,80,B
student-16,16,Thread-16,71,76,83,76,C
student-0,0,Thread-0,83,82,77,80,B
student-1,1,Thread-1,93,84,70,82,B
student-2,2,Thread-2,74,90,97,87,B
