name,nextId,homework,midterm,final,Grade
Student22,22,91,78,85,B
Student23,23,73,84,76,C
Student24,24,96,71,74,B
Student25,25,95,75,71,B
Student26,26,99,79,92,A
Student27,27,88,82,97,B
Student28,28,75,88,91,B
Student29,29,95,89,81,A
Student30,30,72,79,97,C
Student31,31,89,70,70,C
Student32,32,77,95,95,B
Student10,10,98,85,96,A
Student11,11,77,77,92,B
Student33,33,90,72,75,B
Student34,34,72,70,75,C
Student12,12,71,81,92,C
Student13,13,78,85,96,B
Student35,35,80,94,78,B
Student14,14,86,96,93,A
Student36,36,82,84,81,B
Student37,37,88,77,77,B
Student15,15,70,95,85,B
Student38,38,77,92,99,B
Student16,16,75,93,76,B
Student17,17,76,92,88,B
Student39,39,89,83,96,B
Student18,18,93,96,71,B
Student19,19,82,73,87,B
Student1,1,81,75,72,C
Student2,2,72,99,83,B
Student3,3,70,84,91,C
Student4,4,91,87,80,B
Student5,5,76,94,79,B
Student6,6,83,70,86,C
Student7,7,81,87,93,B
Student8,8,81,98,91,B
Student9,9,71,88,80,C
Student40,40,90,78,72,B
Student20,20,82,89,73,B
Student21,21,82,95,87,B
